Country,City,Latitude,Longitude
France,,48.86,2.35
United Kingdom,Wallingford,51.6207,-1.1098
United States,San Francisco,37.7697,-122.3933
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,Charleston,32.911,-79.8603
United States,New York,40.733,-74.0078
United States,Little Rock,34.7888,-92.4127
United Kingdom,Wallingford,51.6207,-1.1098
United States,New York,40.733,-74.0078
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,New York,40.733,-74.0078
United States,San Francisco,37.7697,-122.3933
United States,Atlanta,33.7719,-84.3771
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,,39.76,-98.5
United States,Redmond,47.6801,-122.1206
United States,Los Angeles,34.1006,-118.3275
United States,New York,40.733,-74.0078
United Kingdom,Wallingford,51.6207,-1.1098
United States,San Antonio,29.4889,-98.3987
United States,Westford,42.5888,-71.4416
United States,New York,40.733,-74.0078
United States,New York,40.6888,-74.0204
United States,San Francisco,37.7697,-122.3933
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,Maynard,42.4263,-71.4542
United States,New York,40.6888,-74.0204
United States,Atlanta,33.7719,-84.3771
United States,Council Bluffs,41.2468,-95.7002
United States,New York,40.733,-74.0078
United States,Atlanta,33.7719,-84.3771
United States,Los Angeles,34.1006,-118.3275
United States,New York,40.733,-74.0078
United States,Maynard,42.4263,-71.4542
United States,Maynard,42.4263,-71.4542
United States,New York,40.733,-74.0078
United States,Chantilly,38.8943,-77.4311
United States,Chantilly,38.8943,-77.4311
United States,Redmond,47.6801,-122.1206
United States,,39.76,-98.5
United States,New York,40.733,-74.0078
United States,New York,40.7089,-74.0012
United States,Chantilly,38.8943,-77.4311
Poland,Warsaw,52.25,21
United States,Menlo Park,37.459,-122.1781
United States,Council Bluffs,41.2468,-95.7002
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,Mountain View,37.4192,-122.0574
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,Redmond,47.6801,-122.1206
United States,Redmond,47.6801,-122.1206
United States,Charleston,32.911,-79.8603
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,Redmond,47.6801,-122.1206
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,Westford,42.5888,-71.4416
Ireland,Dublin,53.3331,-6.2489
United States,New York,40.733,-74.0078
United States,Westford,42.5888,-71.4416
United States,New York,40.733,-74.0078
United States,New York,40.733,-74.0078
United States,Mountain View,37.4192,-122.0574
